text,chunk_id,result
"# A Literature Review On Variability In Semiconductor Manufacturing: The Next Forward Leap To Industry 4.0.  Kean Dequeant1,2  Philippe Vialletelle1  Pierre Lemaire2  Marie-Laure Espinouse2  1STMicroelectronics, F-38926, Crolles Cedex, FRANCE 2Univ. Grenoble Alpes, CNRS, G-SCOP, 38 000 Grenoble, FRANCE  ## Abstract  Semiconductor fabrication plants are subject to high levels of variability because of a variety of factors including re-entrant flows, multiple products, machine breakdowns, heterogeneous toolsets or batching processes. This variability decreases productivity, increases cycle times and severely impacts the systems tractability. Many authors have proposed approaches to better model the impact of variability, often focusing on specific aspects. We present a review of the sources of variability discussed in the literature and the methods proposed to manage them. We discuss their relative importance as seen by the authors as well as the limits current theories face. Finally, we emphasize the lack of research on some critical aspects related to High Mix Low Volume fabs. In this setting, the ability of practitioners to predict and anticipate the effects of changing product mix and client orders remains challenging, delaying the transition of semiconductor manufacturers towards Industry 4.0.  ## 1 **Introduction**  Industry 4.0 is said to be the next industrial revolution. The proper use of real-time information in complex manufacturing systems is expected to allow more customization of products in highly flexible production factories. Semiconductor High Mix Low Volume (HMLV) manufacturing facilities (called fabs) are one example of candidates for this transition towards ""smart industries"". However, because of the high levels of variability, the environment of a HMLV fab is highly stochastic and difficult to manage. The uncontrolled variability limits the predictability of the system and thus the ability to meet delivery requirements in terms of volumes, cycle",93be9b1e1a75fa951627c9dfae79b909,"[{'node_1': 'Semiconductor manufacturing', 'node_2': 'High Mix Low Volume (HMLV) fabrication plants', 'edge': 'faces challenges in', 'chunk_id': '93be9b1e1a75fa951627c9dfae79b909'}, {'node_1': 'Variability', 'node_2': 'Re-entrant flows, multiple products, machine breakdowns, heterogeneous toolsets, and batching processes', 'edge': 'arises from', 'chunk_id': '93be9b1e1a75fa951627c9dfae79b909'}, {'node_1': 'HMLV fabs', 'node_2': 'Decreased productivity, increased cycle times, and reduced system tractability', 'edge': 'experience due to uncontrolled variability', 'chunk_id': '93be9b1e1a75fa951627c9dfae79b909'}, {'node_1': 'Modeling approaches', 'node_2': 'Specific aspects of variability', 'edge': 'focus on', 'chunk_id': '93be9b1e1a75fa951627c9dfae79b909'}, {'node_1': 'Management strategies', 'node_2': 'Effects of variability', 'edge': 'aim to mitigate', 'chunk_id': '93be9b1e1a75fa951627c9dfae79b909'}, {'node_1': 'Current theories', 'node_2': 'Critical aspects related to HMLV fabs', 'edge': 'face limitations in addressing', 'chunk_id': '93be9b1e1a75fa951627c9dfae79b909'}, {'node_1': 'Industry 4.0 Transition', 'node_2': 'Variability in HMLV fabs', 'edge': 'is hindered by the inability to predict and manage', 'chunk_id': '93be9b1e1a75fa951627c9dfae79b909'}, {'node_1': 'Re-entrant flows', 'node_2': 'Products re-entering the production process after being processed elsewhere', 'edge': 'refer to', 'chunk_id': '93be9b1e1a75fa951627c9dfae79b909'}, {'node_1': 'Multiple products', 'node_2': 'Production of multiple products on the same equipment', 'edge': 'involve', 'chunk_id': '93be9b1e1a75fa951627c9dfae79b909'}, {'node_1': 'Machine breakdowns', 'node_2': 'Equipment failures leading to downtime and reduced capacity', 'edge': 'result in', 'chunk_id': '93be9b1e1a75fa951627c9dfae79b909'}]"
"of the system and thus the ability to meet delivery requirements in terms of volumes, cycle times and due dates.  Typically, the HMLV STMicroelectronics Crolles 300 fab regularly experiences significant mix changes that result in unanticipated bottlenecks, leading to firefighting to meet commitment to customers.   The overarching goal of our strategy is to improve the forecasting of future occurrences of bottlenecks and cycle time issues in order to anticipate them through allocation of the correct attention and resources. Our current finite capacity projection engine can effectively forecast bottlenecks, but it does not include reliable cycle time estimates. In order to enhance our projections, better forecast cycle time losses  (queuing times), improve the tractability of our system and reduce our cycle times, we now need accurate dynamic cycle time predictions.   As these types of projections are made considering finite horizons (e.g., see Mhiri et al. 2014), the dynamic cycle time models to develop are closer to clearing functions (see Kacar et al. 2012) than queuing theory. Using historical data to derive these models is not appropriate, since the behavior of the toolsets changes with the mix of products and lots priorities. Simulation is a promising tool since it allows to create controlled and repeatable scenarios. However, creating accurate simulations for this purpose requires a deep understanding of the main factors responsible for the generation of queues, referred to as ""sources of variability"" in this paper. It also requires a deep understanding of how each source of variability contributes to high cycle times in practice.  The literature of variability in semiconductor manufacturing focuses on efficiency: In this context, we interpret variability as everything responsible for efficiency losses by means of non-productive waiting times. What we therefore call the intrinsic variability of a manufacturing system (which we will simply refer to as",5a38bd9ada1fa78399f0e45d43975d8c,empty
"call the intrinsic variability of a manufacturing system (which we will simply refer to as variability) is its corrupting tendency to generate uncontrolled unevenness both in its flows and in the capacities of its manufacturing resources, resulting in local efficiency losses, i.e. non-productive waiting times. In the effort towards flexible and agile manufacturing, this article seeks to give an exhaustive overview of the various facets and specificities of variability arising in the complex environment of semiconductor manufacturing. This article is organized as follows: Section 2 illustrates the main characteristics of semiconductor manufacturing as found in the literature and confirmed by our own operational experience; the impact of variability is then explained and the main sources of variability in a semiconductor environment are listed. Section 3 provides an extensive study of the aforementioned sources of variability based on the literature and our field experience. The final part (Section 4) discusses the challenges faced when considering the sources of variability in mathematical or simulation models: Using real fab data, we show that some complex behaviors may often be overlooked when trying to capture the sources of variability.  ## 2 The Complexity **Of Semiconductor Manufacturing** 2.1 Overview Of **Semiconductor Manufacturing**  Traditional production or assembly lines are usually organized to build products starting from raw materials or components, progressively transforming or assembling them in order to deliver ""end products"" or ""finished goods"". Such factories manage a linear flow of products going all in one direction from the beginning of the line to the end of the line. Regardless of whether process steps are performed by operators or machines, processing times are subject to inconsistencies, machines are subject to breakdowns, and operators and secondary resources are sometimes unavailable.   Semiconductor fabs are, like other industries,",51a1782dfcf79ceb2a418883aa67aeec,empty
"and secondary resources are sometimes unavailable.   Semiconductor fabs are, like other industries, subject to the above mentioned ""disturbances"". Their main characteristic however, justifying the label of ""complex environment"", is the reentrancy of their process flows. Microchips are produced by stacking tens of different layers of metals, insulators and semiconductor materials on silicon substrates (called wafers). The similarities of layers, added to the extreme machine costs, lead the same groups of machines (toolsets) to process different layers. Hence products are processed several times by the same machines over the course of their hundreds of process steps. Dedicating machines to steps is only (partially) possible in very large facilities (such as memory fabs) where thousands of tools are generally producing one or two different products; these factories operate in what is generally referred to as HVLM: High Volume Low Mix manufacturing.  The second characteristic of semiconductor manufacturing is that it involves different types of physical processes that require different types of machines (see Mönch et al. 2011). Batching machines, such as deposition or diffusion furnaces for example, will process products in batches of different minimum and maximum sizes according to the specific recipe and process step. Other machines, such as cluster tools, consist of process chambers or modules sharing the same robotics. Depending on the products being processed at the same time, resource conflicts may appear within the tool, rendering processing times even more inconsistent. Many other characteristics may also be cited here as semiconductor manufacturing is above all a matter of technology and then only a matter of efficiency. A very good example is that most semiconductor vendors still propose ""lots of 25 wafers"" as manufacturing units, whereas the move to larger wafer sizes should already have challenged this paradigm.  A third characteristic of semiconductor fabs",3167ca8d770944850fa1f5188deed4f3,"[{'node_1': 'Semiconductor Manufacturing Environments', 'node_2': 'Reentrant Process Flows', 'edge': 'characterized by', 'chunk_id': '3167ca8d770944850fa1f5188deed4f3'}, {'node_1': 'Reentrant Process Flows', 'node_2': 'Microchips', 'edge': 'involved in production of', 'chunk_id': '3167ca8d770944850fa1f5188deed4f3'}, {'node_1': 'Microchips', 'node_2': 'Silicon Substrates (Wafers)', 'edge': 'produced on', 'chunk_id': '3167ca8d770944850fa1f5188deed4f3'}, {'node_1': 'High Machine Costs', 'node_2': 'Partial Dedication of Machines', 'edge': 'leads to', 'chunk_id': '3167ca8d770944850fa1f5188deed4f3'}, {'node_1': 'Diverse Physical Processes', 'node_2': 'Batching Machines', 'edge': 'require use of', 'chunk_id': '3167ca8d770944850fa1f5188deed4f3'}, {'node_1': 'Diverse Physical Processes', 'node_2': 'Cluster Tools', 'edge': 'require use of', 'chunk_id': '3167ca8d770944850fa1f5188deed4f3'}, {'node_1': 'Resource Conflicts', 'node_2': 'Processing Multiple Products Simultaneously', 'edge': 'arise from', 'chunk_id': '3167ca8d770944850fa1f5188deed4f3'}, {'node_1': 'Inefficient Manufacturing Units', 'node_2': 'Lots of 25 Wafers', 'edge': 'still widely use', 'chunk_id': '3167ca8d770944850fa1f5188deed4f3'}, {'node_1': 'Semiconductor Manufacturing Environments', 'node_2': 'High Volume Low Mix manufacturing', 'edge': 'only possible in large facilities with', 'chunk_id': '3167ca8d770944850fa1f5188deed4f3'}, {'node_1': 'Inconsistent Processing Times', 'node_2': 'Resource Conflicts', 'edge': 'increased by', 'chunk_id': '3167ca8d770944850fa1f5188deed4f3'}]"
"sizes should already have challenged this paradigm.  A third characteristic of semiconductor fabs is the business model they use. While High Volume Low Mix units usually produce in the range of 3 to 4 different products at the same time over one or two   different technology generations, High Mix fabs propose a wide variety of products to their customers over several technology nodes. A difficulty in this case is that specific process steps may only be required by very few products. Therefore only 1 or 2 tools may be used to process a given group of steps. Moreover, qualifying a ""technology level"" on a tool requires time (as functional tests can only be performed on finished products) and money (as ""testing wafers"" cannot be sold). Therefore, not all tools of a given toolset will be qualified on all the operations associated to this toolset. High Mix fabs, as they address a wide range of customers and products, generally follow a make-to-order policy. Given the range of products, demands cannot be satisfied by stocks and lots are therefore started on demand with different requirements in terms of delivery times. Production control techniques and rules are then introduced to manage different levels of priorities necessary to achieve the individual required speeds.  ## 2.2 **Impact Of Variability**  As utilization, as well as variability, also creates higher cycle times, one way to visualize the intrinsic variability of a manufacturing system is through ""operational curves"" or ""cycle time throughput curves"". These curves are found in 20 of the papers that we reviewed, and used in 12 of them to explain the impact of variability (Brown et al. 2010, Delp et al. 2006, Etman et al. 2011, Ignizio 2011, Kim et al. 2014, Martin 1999, Robinson et al. 2003, Schoemig 1999, Shanthikumar et al. 2007, Tirkel 2013, Wu 2005, and Zisgen et al. 2008). These curves represent the Xfactor (the ratio between cycle time and raw processing time) as a function of the utilization of available",efbd15a9e7a6dd75d43ce366b3375e4a,"[{'node_1': 'Semiconductor Manufacturing Systems', 'node_2': 'High Variability', 'edge': 'exhibit', 'chunk_id': 'efbd15a9e7a6dd75d43ce366b3375e4a'}, {'node_1': 'High Mix Fabs', 'node_2': 'Different Levels of Priorities', 'edge': 'face challenges in managing', 'chunk_id': 'efbd15a9e7a6dd75d43ce366b3375e4a'}, {'node_1': 'Intrinsic Variability', 'node_2': 'Operational Curves', 'edge': 'can be visualized through', 'chunk_id': 'efbd15a9e7a6dd75d43ce366b3375e4a'}, {'node_1': 'Business Model', 'node_2': 'Production Control Techniques', 'edge': 'impact', 'chunk_id': 'efbd15a9e7a6dd75d43ce366b3375e4a'}, {'node_1': 'High Volume Low Mix Fabs', 'node_2': 'Make-to-Stock Business Model', 'edge': 'use', 'chunk_id': 'efbd15a9e7a6dd75d43ce366b3375e4a'}, {'node_1': 'High Mix Fabs', 'node_2': 'Make-to-Order Business Model', 'edge': 'use', 'chunk_id': 'efbd15a9e7a6dd75d43ce366b3375e4a'}, {'node_1': 'Utilization of Resources', 'node_2': 'Cycle Times', 'edge': 'affects', 'chunk_id': 'efbd15a9e7a6dd75d43ce366b3375e4a'}, {'node_1': 'Operational Curves', 'node_2': 'Relationship between Cycle Time and Raw Processing Time', 'edge': 'represent', 'chunk_id': 'efbd15a9e7a6dd75d43ce366b3375e4a'}, {'node_1': 'Semiconductor Fabs', 'node_2': 'Complex Business Models', 'edge': 'exhibit', 'chunk_id': 'efbd15a9e7a6dd75d43ce366b3375e4a'}, {'node_1': 'High Mix Fabs', 'node_2': 'Required Delivery Times', 'edge': 'must achieve', 'chunk_id': 'efbd15a9e7a6dd75d43ce366b3375e4a'}]"
"ratio between cycle time and raw processing time) as a function of the utilization of available capacity at different variability levels (as illustrated in Figure 1.A). Figure 1.A shows that, for any given utilization, a higher level of variability translates into longer cycle times.   Another less obvious impact of variability is the capacity loss it generates. Robinson et al. (2003)  indeed titled their article ""**Capacity Loss** Factors in Semiconductor Manufacturing."" The link between capacity loss and variability arises from the desire of semiconductor manufacturing companies to minimize their production costs by maximizing the utilization of their assets (building, personal and equipment). To guarantee an acceptable cycle time, this generally translates into a maximum allowed Xfactor (the ratio between cycle time and raw processing time). Figure 1.B shows that a first part of capacity (around 25 percent of capacity) is directly lost by the inefficiencies of tools (such as breakdowns), and that a second part of capacity is lost because of variability: In order to keep the Xfactor below its target value, the capacity utilization must be kept under a given value.   Figure 1: Operating curves showing different levels of variability (1.A) and the link to capacity loss (1.B).  ![2_image_0.png](2_image_0.png)  Moreover, for a given maximum allowed Xfactor value, the maximum allowed capacity utilization decreases as the variability increases, which directly translates into capacity loss. This link is essential to understand the cost of variability in semiconductor fabs. As semiconductor manufacturing tools are  ![2_image_1.png](2_image_1.png)  # Dequeant, Vialletelle, Lemaire, And Espinouse  extremely expensive, a fab with high variability requires far more capital investment than one with low variability in order to achieve the same throughput under the same Xfactor constraint.  Another impact of variability is the difficulty of efficiently forecasting the",1b829fd0cd3195b1d6fff1a7eeda999c,"[{'node_1': 'Variability', 'node_2': 'Cycle Time', 'edge': 'increases', 'chunk_id': '1b829fd0cd3195b1d6fff1a7eeda999c'}, {'node_1': 'Variability', 'node_2': 'Capacity Loss', 'edge': 'leads to', 'chunk_id': '1b829fd0cd3195b1d6fff1a7eeda999c'}, {'node_1': 'Inefficiencies of tools', 'node_2': 'Capacity Loss', 'edge': 'accounts for around 25%', 'chunk_id': '1b829fd0cd3195b1d6fff1a7eeda999c'}, {'node_1': 'Reduced capacity utilization', 'node_2': 'Capacity Loss', 'edge': 'results in', 'chunk_id': '1b829fd0cd3195b1d6fff1a7eeda999c'}, {'node_1': 'High Variability', 'node_2': 'Capital Investment', 'edge': 'requires more', 'chunk_id': '1b829fd0cd3195b1d6fff1a7eeda999c'}, {'node_1': 'X-Factor Constraint', 'node_2': 'Capacity Utilization', 'edge': 'determines the maximum allowed', 'chunk_id': '1b829fd0cd3195b1d6fff1a7eeda999c'}, {'node_1': 'Variability Level', 'node_2': 'Cycle Time', 'edge': 'affects', 'chunk_id': '1b829fd0cd3195b1d6fff1a7eeda999c'}, {'node_1': 'Variability Level', 'node_2': 'Capacity Utilization', 'edge': 'impacts', 'chunk_id': '1b829fd0cd3195b1d6fff1a7eeda999c'}, {'node_1': 'Low Variability', 'node_2': 'Short Cycle Time', 'edge': 'results in', 'chunk_id': '1b829fd0cd3195b1d6fff1a7eeda999c'}, {'node_1': 'High Variability', 'node_2': 'Long Cycle Time', 'edge': 'leads to', 'chunk_id': '1b829fd0cd3195b1d6fff1a7eeda999c'}]"
"Xfactor constraint.  Another impact of variability is the difficulty of efficiently forecasting the capacities required and the cycle times of the products. Indeed, as the lack of information characterizing the system and its variability is high, changes in the production environment lead to unaccounted changes in variability and cycle times, making it ever so difficult to respect customer orders in terms of times and quantities.  ## 2.3 Sources Of Variability  | Table 1: Sources of variability identified by authors related to the variability of semiconductor          |                    |                  |               |               |                 | |------------------------------------------------------------------------------------------------------------|--------------------|------------------|---------------|---------------|-----------------| | manufacturing. The sources of variability are ordered by the number of times identified in the literature. |                    |                  |               |               |                 | | Sources of variability                                                                                     |                    |                  |               |               |                 | | equipment specific                                                                                         |                    |                  |               |               |                 | | product induced                                                                                            |                    |                  |               |               |                 | | operational                                                                                                |                    |                  |               |               |                 | | structural                                                                                                 | tonstraints",12a936ff2a2d235f73411cb2d88123b6,empty
| tonstraints betwee |                  |               |               |                 | |                                                                                                            | ence specific pro  |                  |               |               |                 | | of tool redund.                                                                                            | ess time variab    | rk / yield / scr | ogeneous tool | tenance strat | ator cross-trai | |                                                                                                            | control strati     | ndary resour     |               |               |                 | |                                                                                                            | rator availabi     |                  |               |               |                 | |                                                                                                            | trant flow         | spatching pol    | · release     | of shift ef   | tory shutdor    | |                                                                                                            | ol dedicatio       |                  |               |               |                 | |                                                                                                            | owntime            | roduct mi        | riorities     |               |                 | | References                                                                                                 | atchin             |                  |               |               |                 | | Martin (1999)                                                                                              |                    |                  |               |               |                 | | Rose et,b5053fc5879f62a651ea24abd77b99f3,"[{'node_1': 'Tool Allocation', 'node_2': 'Manufacturing Systems', 'edge': 'is crucial for', 'chunk_id': 'b5053fc5879f62a651ea24abd77b99f3'}, {'node_1': 'Tool Redundancy', 'node_2': 'Downtime', 'edge': 'reduces due to tool failure or maintenance', 'chunk_id': 'b5053fc5879f62a651ea24abd77b99f3'}, {'node_1': 'Processing Time Variability', 'node_2': 'Production Schedules', 'edge': 'impacts and requires adaptive allocation strategies for', 'chunk_id': 'b5053fc5879f62a651ea24abd77b99f3'}, {'node_1': 'Resource Availability', 'node_2': 'Tool Allocation Efficiency', 'edge': 'affects the efficiency of', 'chunk_id': 'b5053fc5879f62a651ea24abd77b99f3'}, {'node_1': 'Ogeneous Tool Sets', 'node_2': 'Maintenance Costs', 'edge': 'reduces by simplifying maintenance and reducing costs', 'chunk_id': 'b5053fc5879f62a651ea24abd77b99f3'}, {'node_1': 'Regular Maintenance', 'node_2': 'Unexpected Downtime', 'edge': 'prevents', 'chunk_id': 'b5053fc5879f62a651ea24abd77b99f3'}, {'node_1': 'Cross-Training Operators', 'node_2': 'Flexibility and Downtime Reduction', 'edge': 'improves by reducing downtime', 'chunk_id': 'b5053fc5879f62a651ea24abd77b99f3'}, {'node_1': 'Flow Control Strategies', 'node_2': 'System Performance Optimization', 'edge': 'optimizes by managing workflow', 'chunk_id': 'b5053fc5879f62a651ea24abd77b99f3'}, {'node_1': 'Downtime Prioritization', 'node_2': 'Productivity Impact Minimization', 'edge': 'minimizes impact on overall productivity by prioritizing maintenance based on production schedules and tool criticality', 'chunk_id': 'b5053fc5879f62a651ea24abd77b99f3'}]"
|                  |               |               |                 | | Rose et al. (2000)                                                                                         |                    |                  |               |               |                 | | Huang et al. (2001)                                                                                        |                    |                  |               |               |                 | | Robinson et al. (2003)                                                                                     |                    |                  |               |               |                 | | Karabuk (2003)                                                                                             |                    |                  |               |               |                 | | Wu (2005)                                                                                                  |                    |                  |               |               |                 | | Delp et al. (2006)                                                                                         |                    |                  |               |               |                 | | Morrison and Martin (2006)                                                                                 |                    |                  |               |               |                 | | Hanschke (2006)                                                                                            |                    |                  |               |               |                 | | Morrison and Martin (2007)                                                                                 |                    |                  |               |               |                 | | Shantikumar et al. (2007),4450a256cda19c0237a38eeb3d97a554,empty
Shantikumar et al. (2007)                                                                                  |                    |                  |               |               |                 | | Hopp et al. (2007)                                                                                         |                    |                  |               |               |                 | | Zisgen et al. (2008)                                                                                       |                    |                  |               |               |                 | | Wu and Hui (2008)                                                                                          |                    |                  |               |               |                 | | Chang et al. (2008)                                                                                        |                    |                  |               |               |                 | | Ignizio (2009a)                                                                                            |                    |                  |               |               |                 | | Brown et al. (2010)                                                                                        |                    |                  |               |               |                 | | Etman et al. (2011)                                                                                        |                    |                  |               |               |                 | | Ignizio (2011)                                                                                             |                    |                  |               |               |                 | | Leachman (2012)                                                                                            |                    |                  |               |               |,4a8e632933dd42b4a0983e2ac2d0eba1,empty
